Customer Name,CSM Name,Renewal Date,Health Score,Open Support Tickets,Last CSM Touch Date,Product Adoption %,ARR,Tier ,Active Modules,Staircase Insights,CSM Notes
Lakeview Medical Center,Sarah Mitchell,46222,19,20,46077,25,50000,Tier 3,"eProcurement, Invoicing",Account shows critical signs of disengagement with very low adoption and a high volume of unresolved tickets. Immediate intervention required to prevent churn at renewal.,Multiple escalations opened in the last 60 days around onboarding gaps. Scheduled a recovery call with IT lead for next week. Waiting on updated stakeholder list from customer. At-risk flag added in CRM.
Pacific Coast University,Sarah Mitchell,46227,22,18,46077,41,280000,Tier 2,"eProcurement, Catalog Management",Low adoption and persistent open tickets suggest the customer has not achieved initial value. Renewal is at risk without a structured recovery plan.,Customer has not logged in consistently since go-live. Outreach sent twice with no response. Need to re-engage executive sponsor to unblock. Renewal conversation has not started.
Meridian Health Systems,Sarah Mitchell,46197,28,15,46122,38,400000,Tier 1,"eProcurement, Sourcing",Minimal product usage and unresolved support issues indicate stalled onboarding. CSM escalation and executive outreach recommended before renewal.,Three open tickets related to PO workflow configuration remain unresolved. Escalated to support team. Customer expressed frustration on last call. EBR needs to be rescheduled after stakeholder change.
Cascade Manufacturing,Sarah Mitchell,46212,31,12,46107,29,65000,Tier 3,"eProcurement, Invoicing",Below-average health with limited adoption signals potential churn risk. Customer may be evaluating alternatives ahead of upcoming renewal.,Key champion left the organization last month. Working to identify new internal contact. Adoption is stalled pending new admin training. Open task: schedule onboarding refresh session.
Northbrook Financial,Sarah Mitchell,46202,35,9,46115,33,70000,Tier 3,"eProcurement, Contracts",Health remains low with ongoing ticket backlog. Account requires focused attention to address pain points and build momentum before renewal date.,Customer flagged slow invoice processing as a recurring blocker. Submitted product feedback on their behalf. Awaiting response from product team. Next check-in scheduled for end of month.
Summit Public Schools,Sarah Mitchell,46262,38,14,46102,37,75000,Tier 3,"eProcurement, Sourcing, Invoicing",Marginal improvement in health but adoption is still lagging. A structured success plan with clear milestones is needed to stabilize this account.,Health plan created and shared with customer last week. Awaiting sign-off from their VP of Finance. Open tickets being actively worked by support. Renewal discussion set for next quarter.
Eastern State College,James Okafor,46242,42,11,46137,48,800000,Tier 1,"eProcurement, Contracts, Catalog Management",Account is trending in a neutral range with moderate adoption. Ticket volume remains elevated; addressing open issues could unlock further engagement.,Customer is engaged but end-user training adoption is lagging. Scheduled a lunch-and-learn for the procurement team. One open ticket pending L2 review. Renewal on track.
Blue Ridge Hospital,James Okafor,46287,40,7,46112,44,85000,Tier 3,"eProcurement, AP Automation, Invoicing",Mid-range health with stabilizing ticket volume. Adoption is growing incrementally but has room for improvement before the next renewal cycle.,Working with support to close out an invoice-matching issue. Customer requested a product roadmap review call. Moderate engagement overall. No renewal concerns at this time.
Sunrise Energy Corp,James Okafor,46257,45,8,46129,52,95000,Tier 3,"eProcurement, Sourcing, Contracts",Account is showing early signs of stabilization. Adoption is approaching average benchmarks and ticket resolution rate has improved recently.,Regular cadence calls in place. Two minor open tickets being resolved this sprint. Recommended Spend Analytics as a next module. Renewal expected on time.
Ironwood Industries,James Okafor,46252,48,6,46125,55,100000,Tier 2,"eProcurement, Sourcing, Catalog Management",Health score is improving with solid adoption gains. Continued CSM engagement and proactive check-ins should sustain this positive trajectory.,Customer is satisfied with platform performance. Exploring AP Automation as an add-on. Open task: send ROI summary ahead of renewal conversation.
Coastal Logistics Inc,James Okafor,46277,44,5,46139,61,110000,Tier 2,"eProcurement, AP Automation, Contracts, Invoicing",Account demonstrates steady engagement and above-average adoption. Low ticket volume indicates a well-supported customer with moderate expansion potential.,Account is stable and improving. Customer requested additional user licenses last quarter. Open task: finalize commercial proposal for expansion. Renewal conversation initiated.
Great Plains Federal Credit Union,James Okafor,46267,51,10,46133,49,120000,Tier 2,"eProcurement, Sourcing, Supplier Management",Health is solidifying with consistent product usage. Some open tickets warrant follow-up but overall the account is on a positive path.,QBRs in place. One open support ticket related to supplier portal access. Customer expressed interest in Spend Analytics. Renewal expected on time.
Clearwater Pharmaceuticals,Rachel Nguyen,46297,57,6,46138,63,150000,Tier 2,"eProcurement, Sourcing, Contracts, AP Automation",Good health indicators with strong adoption and manageable ticket load. Customer is well-positioned for renewal and may be open to expansion conversations.,Expansion conversation for Sourcing module underway. Open task: follow up on procurement team training completion. Renewal low-risk.
Valley Agricultural Co,Rachel Nguyen,46307,55,7,46132,59,140000,Tier 2,"eProcurement, Contracts, Supplier Management, Invoicing",Account is performing well with healthy adoption rates and low open issues. Renewal confidence is high; explore upsell opportunities this quarter.,Strong relationship with day-to-day champion. Customer completed advanced training last month. Open task: schedule QBR with VP of Supply Chain. Renewal and expansion both on the table.
National Retail Partners,Rachel Nguyen,46312,53,8,46127,57,135000,Tier 2,"eProcurement, Sourcing, Spend Analytics, Invoicing",Solid health score with consistent engagement. A few open tickets should be resolved proactively to maintain positive momentum ahead of renewal.,Minor ticket open for catalog sync issue. Customer requested a competitive benchmark comparison. Renewal paperwork in progress.
Redwood Technology Group,Rachel Nguyen,46317,58,4,46149,67,175000,Tier 2,"eProcurement, Sourcing, Contracts, Catalog Management, Invoicing",Strong adoption and minimal tickets indicate an engaged and satisfied customer. Early renewal and expansion discussions are recommended.,Customer actively using 5 modules. Open task: submit customer for JAGGAER Innovation Award. Renewal expected early.
Midwest Transit Authority,Rachel Nguyen,46342,60,5,46147,65,180000,Tier 2,"eProcurement, Sourcing, AP Automation, Spend Analytics",Account is in good standing with above-average adoption. Customer has shown interest in additional modules; initiate discovery for expansion.,Customer has referred two prospects in the last quarter. Open task: coordinate co-marketing blog post. Renewal locked; expansion discussion next.
Parkside Healthcare,Rachel Nguyen,46327,62,3,46145,71,2000000,Tier 1,"eProcurement, Contracts, Supplier Management, AP Automation, Invoicing",High health score with strong platform engagement. Low ticket volume and growing adoption make this a prime candidate for expansion and advocacy.,Customer is a strong advocate and regularly participates in product feedback sessions. Renewal signed 90 days early. Exploring Supplier Management expansion. No open tasks.
Harbor City Council,Daniel Ferreira,46347,66,3,46149,70,210000,Tier 2,"eProcurement, Sourcing, Contracts, Catalog Management, Invoicing",Account is healthy and well-engaged. Renewal is low-risk; consider nominating this customer for a case study or reference program.,Customer nominated as a reference by sales team. Open task: coordinate reference call for Q3 prospect. No renewal concerns.
Mountain View University,Daniel Ferreira,46332,64,2,46152,73,195000,Tier 2,"eProcurement, Sourcing, Supplier Management, Spend Analytics, Contracts",Solid adoption and minimal issues reflect a strong customer relationship. Account is ready for expansion conversations and long-term strategic planning.,Executive sponsor actively involved. Customer presented at JAGGAER user conference last year. Open task: confirm speaking slot for upcoming summit. Renewal multi-year.
Blackstone Construction,Daniel Ferreira,46377,72,1,46155,79,280000,Tier 2,"eProcurement, Sourcing, Contracts, AP Automation, Catalog Management, Invoicing",High adoption and near-zero ticket volume signal a very healthy account. Customer is a strong expansion and advocacy candidate.,Customer recently went live on their 6th module. Open task: document expanded use case for case study. Multi-year renewal in final stages.
Northland School District,Daniel Ferreira,46407,71,3,46153,77,260000,Tier 2,"eProcurement, Sourcing, Contracts, Supplier Management, Spend Analytics",Account demonstrates strong engagement across multiple modules. Renewal risk is low and expansion potential is high based on current usage trends.,Customer is piloting AI-assisted spend categorization. Open task: share pilot results with product team. Renewal and expansion both confirmed.
Applegate Medical Group,Daniel Ferreira,46417,74,2,46156,81,320000,Tier 1,"eProcurement, Sourcing, Contracts, AP Automation, Supplier Management, Invoicing",Excellent health indicators with high adoption and minimal support needs. Customer is well-positioned for multi-year renewal and upsell.,Flagship account with high executive engagement. Open task: coordinate co-innovation session with product leadership. Multi-year renewal signed.
Pioneer Materials LLC,Daniel Ferreira,46387,75,2,46159,82,340000,Tier 1,"eProcurement, Sourcing, Contracts, Catalog Management, Spend Analytics, Invoicing","Account is thriving with strong adoption and no open issues. An ideal candidate for reference calls, case studies, and executive sponsorship.",Customer is fully self-sufficient on day-to-day operations. Renewal completed. Currently exploring integration with ERP upgrade project. Strategic account status confirmed. No open tasks.
Central Valley Water Authority,Priya Kapoor,46437,76,1,46158,83,36000,Tier 3,"eProcurement, Sourcing, Contracts, AP Automation, Catalog Management, Spend Analytics",Very high health score and strong adoption reflect deep platform value realization. Expansion and multi-year renewal discussions should be prioritized.,Open task: schedule annual executive business review. Renewal terms agreed; expansion proposal being drafted. Cross-functional usage across the platform.
Silverstone Financial Services,Priya Kapoor,46397,78,1,46160,85,400000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Invoicing",Account is highly engaged with broad module adoption and minimal friction. Renewal is virtually certain; expansion discovery is the top priority.,Customer is a go-to reference for mid-market prospects. Open task: finalize co-authored case study. Multi-year renewal active. No open issues.
Horizon Aerospace,Priya Kapoor,46427,80,0,46162,88,450000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Spend Analytics",Outstanding health and adoption metrics with zero open tickets. This account represents a flagship success story and strong expansion opportunity.,Customer co-presented with JAGGAER at an industry conference this year. Expansion underway for two additional business units. No open tasks.
Heritage University System,Priya Kapoor,46477,87,1,46161,91,50000,Tier 3,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics","Account is a top performer with near-perfect adoption and no support issues. Ideal for executive business reviews, references, and co-marketing.",C-level executive sponsorship in place. Customer actively involved in product advisory board. Open task: prepare EBR deck for CEO meeting next month. Renewal is multi-year.
Pinnacle Technology Corp,Priya Kapoor,46467,89,0,46164,93,700000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics, Invoicing","Exceptional health across all indicators. Customer has fully adopted the platform and is a strong candidate for expansion, advocacy, and co-innovation.",Participating in early access program for new AI features. Open task: collect beta feedback. Renewal and expansion secured.
Greenfield Biotech,Priya Kapoor,46487,92,0,46165,95,850000,Tier 1,"eProcurement, Sourcing, Contracts, Supplier Management, AP Automation, Catalog Management, Spend Analytics, Invoicing","Account represents peak health and adoption. A model customer for the platform; prioritize executive engagement, expansion, and thought leadership opportunities.",Co-innovation partner and key reference account. No open issues. Open task: plan joint press release for new use case. Highest health and adoption in the portfolio.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
